,GRB,Filters,EG B−V,Unnamed: 0,β Ahosto,v,Unnamed: 1,z,References
0,,,(Galaxy),,(Spectral Index),(Host Galaxy),,(Redshift),(for Data Sources)
1,970508,UBVRcIc,0.034,,1.11,0.38±0.11,,0.8349,"1,2,3,4,5,6"
2,980425,UBVRcIc,0.059,,...,0.17±0.02,,0.0085,"7,8,9,10"
3,990510,BVRIJHKs,0.226,,0.55,0.22±0.07,,1.6187,"11,12,13,14"
4,990712,VRI,0.035,,0.99±0.02,0,,0.4331,"15,16,17"
5,000301C,UBVRIJK,0.053,,0.70,0.12±0.06,,2.0404,"18,19,20,21,22,23"
6,000926,UBVRI,0.025,,1.00±0.18,0.15±0.07,,2.0387,"24,25,26"
7,021004,UBVRIJHK,0.074,,0.14,0.05,,2.3304,"27,28,29,30,31"
8,030226,UBVRIJHK,0.023,,0.70±0.03,0.06±0.06,,1.98691,"32,33,34"
9,030328,UBVRI,0.075,,0.36±0.45,0.05±0.15,,1.5216,35
10,030329,UBVRIJH,0.029,,0.54±0.02,0.39±0.15,,0.16867,"36,37,38,39"
11,050525A,UVW2UVM2UVW1UBVRIJH,0.117,,0.97±0.10,0.36±0.05,,0.606,"40,41,42,43,44"
12,050801,UVW2UVM2UVW1UBVRIcJK,0.081,,1.00±0.16,0.30±0.18,,1.56,"43,45,46"
13,050820A,UBVRIJHKg’z’,0.054,,0.72±0.03,0.07±0.01,,2.61469,"43,47"
14,050922C,UBVRI,0.093,,0.51±0.05,0.01±0.01,,2.198,"43,48"
15,051111,BVRI,0.146,,0.76±0.07,0.20±0.10,,1.54948,"49,50,51,52"
16,060218,UVW2UVM2UVW1UBVRIJHK,0.124,,...,0.13±0.01,,0.03342,"53,54,55,56"
17,060418,BVRIJHKz’,0.319,,0.78±0.09,0.20±0.06,,1.49000,"43,57,58"
18,060526,whiteBVRIJHKs,0.078,,0.51±0.32,0.05±0.11,,3.221,"59,60"
19,060607A,whiteUBVgriH,0.027,,0.72±0.27,0.08±0.08,,3.0749,"58,61,62,63"
20,060614,whiteUVW2UVM2UVW1UBVRIJK,0.017,,0.47±0.04,0.28±0.07,,0.1254,"64,65,66,67,68"
21,060729,whiteUVW2UVM2UVW1UBVCR,0.05,,0.78±0.03,0,,0.5428,"69,70"
22,060906,g’Rci’z’,0.087,,0.56±0.02,<0.09,,3.6856,71
